pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
2.16285692506224 2.269619918791921 1.8001087018738615 1.6777388800631612
2.1628569092762966 2.269619918115254 1.800108804566389 1.6777388718134119
2.111110045476493 2.240988127576498 1.9147998099995192 1.6793167342634598
2.2195816732223843 2.1159401807555147 2.5136065369528393 1.7313616473173128
2.700419872259945 2.0284528300965334 3.043663320897929 1.8299715922307753
3.5349429458075114 2.021360037977064 3.368271553832027 1.9577362382156562
4.183779444855816 2.1261955785622857 3.3022371134559347 2.0365809618026605
4.400759436075958 2.3474160862842184 2.8167432105611097 2.0599492724104884
3.973149400604205 2.4690244313788328 2.2833012533274726 2.0071980351461756
3.133397621674754 2.472945601554518 1.6957109387896467 1.87401133805196
2.3837223208343143 2.3470089712035556 1.36596039062763 1.7032983965761928
2.071131098785082 2.188279819650222 1.4116487994873983 1.5791937252450636
2.2376527452335453 2.014945828178597 1.807300509090882 1.5120291860298178
2.895890183767908 1.9409436644286828 2.3033588172322053 1.5372826420722498
3.8840427979834056 2.0518180769957555 2.7010225226916873 1.652200206940607
4.639569335520606 2.359144380802697 2.8121452686238326 1.8253595080955098
4.688479895625461 2.6943420420742292 2.65087518903126 1.9804627072130474
4.001384432620652 2.848296923296246 2.311878118350116 2.0241806642885876
3.1212906307919828 2.7787342487239393 1.972376490305726 1.9370957185709587
2.228840148961058 2.534373840891003 1.6764338524838034 1.7274269121851697
1.799662505095874 2.2254841492691906 1.6318540400617891 1.4904617869010066
1.9128872963483086 1.9777897652840908 1.819313711077174 1.3358854458398959
2.51449543971896 1.7970496109631398 2.150318263376105 1.2715190378719943
3.166264032283737 1.7894949078822289 2.3523001931487024 1.3266222537804786
3.6353605947637524 1.940500957845778 2.3651239396498243 1.4806599712814685
3.5675228681309052 2.138462980710106 2.2036371634121994 1.6398153177691737
3.17385558356285 2.240691530594513 2.0338789569021953 1.7002478103524927
2.6406075052770746 2.2504906695603264 1.886585997630336 1.6415655122947406
2.1583252287928407 2.1965502473419103 1.8036731784832087 1.4616308636737554
1.9298343259378195 2.1220181765093815 1.857555909289274 1.246749091716505
2.054811193800806 2.0374028996329887 2.0409425396629706 1.1083769922234898
2.6003110614402045 1.9347228162699097 2.319685642681383 1.0673319233529404
3.3504140807987612 1.9393368285118457 2.489499648249992 1.1737290968588836
3.9162176311913983 2.189770696142686 2.4542337448478975 1.3893072972137561
4.047989338140993 2.6757892900531783 2.2797128473379735 1.6356850271535475
3.808503783692602 3.126743125915895 2.09606584279637 1.8104362041298936
3.2493349603260957 3.472750338961874 1.888147222855153 1.905712958924117
2.684321271862438 3.6011869541403856 1.7436240840724002 1.868653514583019
2.225151412235477 3.710221930033984 1.7076035257954083 1.716394052659785
2.2510957983757343 3.905296746988178 1.8774023599524936 1.5519394797882302
2.712603941201901 4.131720088942395 2.133877850517487 1.4925305860710387
3.330144668294404 4.350856360715751 2.29579370919436 1.5604510811196417
3.6803478056410373 4.5047334109317845 2.210476321064982 1.6922743163060983
3.677683699934609 4.506411271811863 1.9970248650489961 1.78460322922624
3.4360607446070954 4.259842265830276 1.7419538004350612 1.8367648157085104
3.117935227516894 3.8947973924601316 1.5837083075027345 1.845785919590812
2.7120398855666665 3.567800247977356 1.4831993215646773 1.815113556982659
2.445523552799888 3.5942422495302147 1.488788797665543 1.7309520972778196
2.5238782680937706 3.901087475943774 1.6122496334378906 1.6457689373593347
3.034152642242704 4.375879421065795 1.8633466099540783 1.6155486184897132
3.6423774040766856 4.719872942051834 2.0599903743696637 1.6825636496325318
4.152137320058741 4.923101794486862 2.1102703786297017 1.8055190855544079
4.235614134027668 4.878159999039239 1.978037902343258 1.8660347545713472
3.9238979485324452 4.535936542310725 1.7115425174455752 1.851029081479522
3.4798585218267735 4.139305433817473 1.5129785022880964 1.8167967055895273
2.906027325997926 3.797037268757951 1.3431141096114383 1.796123788021191
2.4614812923888376 3.7569873387308657 1.2392420006465419 1.7734006826780968
2.141396825543331 3.994228042186105 1.1709789386738825 1.7077228680482923
