pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
2.115455216932376 2.787317195900627 2.0955386155091587 2.0682842819696634
2.046658972161974 2.8011724568800096 2.035015681149229 2.0339673914329413
1.7088673123150069 2.7715325280209293 1.7366905489818558 1.6940736303658532
1.762025462529331 2.491054039370907 1.8144873302063642 1.3301192819815653
2.271014953763674 2.0913343716880832 2.3047080151387966 1.0919948769443892
2.9841906253176758 1.8397103221706783 2.930033940687194 1.0700478656785257
3.767325947546487 1.7905692940398248 3.5638339275625315 1.2847891472250843
4.078987379478474 1.9475981405620342 3.779074081243681 1.6554336895338677
3.7971371833071297 2.1464245281858925 3.5060823219975386 1.9382635069021161
3.085261319580207 2.2959745464196386 2.866121363071432 1.9723292193671287
2.323695448190798 2.3032581160637897 2.1727624280746465 1.705592304378224
1.8897347017996933 2.167228797783924 1.7669094243500911 1.3585842079539072
1.8701201653363242 1.888200959749041 1.7143748771895235 1.006917646000175
2.3279313571464497 1.6403249001277176 2.0568273232537586 0.8335423062592463
3.1988353428674747 1.469308298909593 2.70842568796528 0.8177027898645312
3.93245213874717 1.4577597997878637 3.244078242415833 0.9927138073803907
4.040402717892578 1.5494967768631924 3.3205059481441963 1.294762362274384
3.5662094176436834 1.6491586972059775 2.9833250147071113 1.5417400180030623
2.682083391412224 1.7253025282645824 2.349587104018578 1.6529741052883213
1.8936229084696854 1.713477999719746 1.7686916837892421 1.5189021845936976
1.5598446055247992 1.6228264770285759 1.5203470749583032 1.2772759711576187
1.752127354683242 1.4636527140528508 1.6902314611903422 1.004769704360649
2.5019449583110234 1.33508445907295 2.2889734933533634 0.8706445732123189
3.624695970340384 1.2927202558563178 3.1148153102375717 0.9157547294372399
4.477178018415476 1.3599515990311255 3.6337627937634256 1.1429192661818892
4.5845637869854245 1.4629745758181203 3.5648749227899694 1.4088509963999896
4.062148647638612 1.5573716370152426 3.0618978986790153 1.6216358846527192
3.028122097040321 1.621453058144835 2.276464856537574 1.6780634033208688
2.16919863156028 1.6366618617147537 1.7251844424579883 1.5531766155669686
1.612165756717996 1.6227597862806398 1.4737077469334428 1.3208986687516575
1.6903354957023558 1.603924115600783 1.6626054839186413 1.158835461849158
2.432514956728245 1.6082129333198627 2.271163943643496 1.0841779023298472
3.527845788720525 1.662644946401956 2.982687473129091 1.1047455365598782
4.315044351777071 1.7501583849120521 3.357049633311015 1.1579041254288955
4.437046623135004 1.8650754886191343 3.2306118757783575 1.225213757097997
3.7983781579202596 1.9931764820865128 2.692092332527936 1.3039569246904636
2.9389853514770654 2.1009247658096686 2.1603587432059905 1.3718538121800363
2.0618955694714387 2.1821734817983294 1.7680360147579277 1.4145250134697165
1.7145470848517088 2.171396694570285 1.8236552815106464 1.386572072005027
2.116507583838968 2.0670656548814983 2.3925598875790675 1.3004049337601862
2.980281081981804 1.9537784133332519 3.1493487864170717 1.2211881458077263
4.114262398479266 1.8743066045261947 3.9098828959854646 1.1674258955089256
4.724725025525408 1.875405461988879 4.121199603545659 1.160880181060723
4.635870192943897 1.9362186999613034 3.717649921475217 1.1904013729804817
3.7905246283250023 2.025993280200776 2.8798840925986773 1.255705561592325
2.8076288769573776 2.1088995018591388 2.162463592710644 1.33751756226621
1.9139737364311173 2.1816390133790717 1.7153306439355611 1.428170439505397
1.4799401010011477 2.203894920803877 1.7768679481530538 1.4844908878930458
1.6830183646159254 2.156124663856687 2.300301227449015 1.4822875877645922
2.2335368272523537 2.0927835135984294 2.857145994368106 1.4622559420050993
2.9512066571054345 2.043723827283074 3.2496724596388287 1.451692076668907
3.36595500781518 2.0242841760215673 3.176453257754297 1.4364587393112498
3.3098922762025462 2.0130046325379003 2.8156100715326886 1.3969976200097454
2.8212491201361773 2.0136736049628277 2.314054312984255 1.3597581113725672
2.2289579201487353 2.0539984472449033 1.9999785865085984 1.3982185512491359
1.6560245745220712 2.148541937402726 1.9089742282370148 1.530868574550447
1.4680642632950627 2.2263284244289294 2.093773435980657 1.6464878667775267
1.6922760705250166 2.263253873343469 2.4964191815192445 1.7019644050917262
2.3476303272511823 2.2837606151263277 2.9362133758279145 1.7109807621933621
3.0459890830380725 2.3423986487144064 3.091342139133436 1.7331734693602336
3.6501924434553557 2.4368870291833575 2.8775397037428276 1.7589781254258479
3.7590561112091256 2.458224945719307 2.453996004138307 1.7201774719736866
3.3364858021976858 2.3801796478168993 1.9773241662408116 1.612145973510018
2.673848073264806 2.309021948716091 1.7853495185166062 1.5586091220077483
2.0473312312326093 2.3204387108394937 1.8765999901351695 1.6047935526433297
1.7393726189756746 2.4103181078011415 2.2759613126801845 1.7247449671927688
2.05746396037833 2.464761243488468 2.8054502168261144 1.7995755699140092
