pygame 2.1.2 (SDL 2.0.18, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
mu_r be_r mu_l be_l
4.330636936286473 5.2551918305517855 3.6864096893916636 3.4715603941953757
4.330635682201031 5.255191753233211 3.686409211277433 3.4715603495686733
4.499443547386504 5.514906239342191 3.8005743881507126 3.5294327333644357
5.152567352674698 6.085110479984025 4.2733251674515715 3.765994490687328
6.009139357137606 6.354030758459344 4.937527210826563 4.167225459737736
6.542544409776637 6.122914994192526 5.465646282135943 4.604144766924625
6.4520441679486 5.5768528396677945 5.584625556341418 4.871182378318153
5.790255195918154 5.024583485495912 5.143888433215826 4.779613931955399
5.039763841775848 4.755057582662104 4.434672205830942 4.4223841598614255
4.437112848156451 4.809876159844015 3.7291416608040917 3.9819597197605816
4.1865458638443815 5.221108429911082 3.327056608181058 3.6687371068083703
4.407406732484356 5.982680520674592 3.412170111773124 3.611585679766084
4.996294645064873 6.637254037787491 3.917330354238268 3.8228116924118254
5.731936888548461 6.9357046448447575 4.580955718526772 4.230345057685667
6.131861494299299 6.810396414575699 4.952972738956331 4.672992122769657
6.017826135144615 6.413255982028691 4.911413835535491 5.156091954080109
5.2478744969282385 5.979270281906896 4.3713472169038425 5.3510103860140825
4.142656677674164 5.664482967560081 3.598777845216228 5.074249459679731
3.3395464474341043 5.586249020949706 3.0431806981992677 4.573213421246878
3.026373670085753 5.751948656765134 2.822124812176634 4.116921268005982
3.428767396858434 6.186213359954163 3.0874661366242035 3.9319774244555457
4.396337320708781 6.648066676939097 3.7590431074556596 4.1451945799099255
5.329216235623824 6.926567309295888 4.450214928887883 4.5967050506593194
5.664713646818075 7.013508809601752 4.749559998640166 5.064253616824672
5.360717361037798 7.047946504972985 4.604795896440436 5.5826169205705325
4.654307022574154 7.106154492417995 4.139526721567976 5.914157759845507
3.951400396651037 7.209595634353562 3.6559561516365204 5.991658552397905
3.3663817411503913 7.366237556732006 3.257824688934459 5.806620309174566
3.258158849412803 7.50677162390465 3.1724315669130325 5.4788037810678825
3.8410644581900106 7.5953446340473825 3.4682230049355676 5.237711069150555
4.860119405321268 7.647636742078112 3.951727635410918 5.242548966994574
6.127286348570583 7.7154809494626 4.465034826066612 5.5315654002668575
6.721482656596234 7.778119276084388 4.584445639165435 5.929503537524092
6.443993691945159 7.835113869799508 4.232579628147027 6.3567406740689005
5.370287550795714 7.914466578380384 3.577617420148384 6.591139912249136
4.275326710092272 8.054859231796941 3.04497752702022 6.61183646573344
3.3084474248085716 8.253792388040827 2.672918420101986 6.4575686970241915
2.9461839060481534 8.320874643336381 2.6038012730428846 6.158557679046536
3.25015478500701 8.179725357709748 2.796008981905879 5.849015473597129
3.9915112674798703 7.952428932415062 3.1600297709939413 5.676497679594441
5.017719227150758 7.729547141959253 3.664990785053359 5.72726712622037
5.705105547790561 7.61647866174516 4.0080458485905375 5.974211897191369
5.777908109942681 7.606895637382979 4.018338446922171 6.200044059472447
5.302821253809107 7.734493242883829 3.7247757815288294 6.400971923147166
4.4853309732478905 8.015798279762018 3.302918932170899 6.610387995372426
3.649656737903694 8.233363973309508 2.971359922374174 6.843148543898587
3.163436755411966 8.121169210263798 2.8808106744704807 6.940968890043135
3.0695609874291336 7.655991917956062 3.0749791346418487 6.854628472283234
3.409641219872098 7.258414786219357 3.496236601160872 6.737915980619007
3.8070846137621555 7.2521686155886815 3.8127449570781526 6.78999650048161
4.104812383294061 7.514409005258172 3.861926455156588 6.965679807335992
4.167068039044867 7.729223291580165 3.620908186621324 7.030209758814444
4.105330277822376 7.866814839729502 3.3580881972567207 6.941546131834265
3.996025774672009 8.04772142990768 3.346552918918186 6.873621993299473
3.895630018416476 8.171039400495559 3.5578246171370784 6.902069107909741
3.9463345658027817 7.973949886432732 3.826907305963215 6.8605230340717025
4.3483541815399125 7.338283023533113 4.261283446818004 6.59886336829205
4.972538273400143 6.718543857536134 4.7809350455788 6.269674785971575
5.702555661669704 6.300138143458792 5.3709136268555895 5.941054315517663
6.052640491161316 6.254661628023793 5.61621758041108 5.719821215841818
6.030990825640248 6.482165546052172 5.532288366907901 5.522966445698672
5.771431367398375 6.925580872586017 5.409366038503285 5.523277126352607
5.383484324907955 7.624904286731228 5.5176848541512875 5.860752313019963
4.898103354766641 8.265381119133577 5.858468613367284 6.490885278662392
4.507439832406549 8.298100845592291 6.0927999557479 6.901356213358128
4.3378766483538405 7.846332345862308 6.163143148843302 6.948194912221212
4.509024143041702 6.846237594814854 6.162316527388256 6.600587088186968
5.070231384109176 5.947906443254991 6.1432163563793045 6.028052698835835
5.495917717021852 5.616563218946622 6.026139359197302 5.557653242323491
